	"C++ variable name"	"Det_number"	"Det_name"	"Det_active"	"Det_Group"	"Det_Group_number"	"Det_IO_type"	"Det_crate_number"	"Det_slot_number"	"Det_address_number"	"PMT_A_name"	"PMT_A_serial_number"	"PMT_B_name"	"PMT_B_serial_number"	"DAC_A_IO_type"	"DAC_A_crate"	"DAC_A_slot"	"DAC_A_address"	"DAC_A_cablename"	"DAC_A_panelname"	"DAC_A_connectorname"	"DAC_A_HV_setting"	"DAC_A_old_HV_setting"	"DAC_A_lastchange"	"DAC_A_to Histgram_gain"	"DAC_A_min_volt"	"DAC_A_max_volt"	"DAC_B_IO_type"	"DAC_B_crate"	"DAC_B_slot"	"DAC_B_address"	"DAC_B_cablename"	"DAC_B_panelname"	"DAC_B_connectorname"	"DAC_B_HV_setting"	"DAC_B_old_HV_setting"	"DAC_B_lastchange"	"DAC_B_to Histgram_gain"	"DAC_B_min_volt"	"DAC_B_max_volt"	"Pileup_res_time"	"Doublett_res_time"	"Dead_time"	"Count_rate_peak"	"Count_rate_CPS_last_minute"	"Count_rate_CPS_total"	"Total_counts_last_minute"	"Total_counts_this_run"	"Max_rate_tolerated"	"Min_rate_tolerated"	"Signal_integral"	"Time_offset"	"Time_offset_old"	"Time_offset_changed"	"Time_offset_manual"	"Gain_gamma_keV_ch"	"Gain_neutron_keV_ch"	"Element_for_Calibration"	"Center_gravity_137Cs"	"Center_gravity_60Co"	"Center_gravity_Natural"	"Center_gravity_Pu"	"Center_gravity_238U"	"Center_gravity_252Cf"	"Center_gravity_Other"	"Det_center_X"	"Det_center_Y"	"Det_center_Z"	"Det_dimension_X"	"Det_dimension_Y"	"Det_dimension_Z"	"Det_rotation_angle"	"FPGA_threshold_mV"	"FPGA_filter_width"	"Noise_AC_limit"	"Noise_AC_average"	"Digitizer_full_range"	"input_offset_target"	"Input_offset_gain"	"Input_offset_value"	"Digitizer_full_scale"	"Input_invert"	"FPGA_pilup_low"	"FPGA_pilup_high"	"FPGA_master_gate_low"	"FPGA_master_gate_high"	"FPGA_peak_gate_low"	"FPGA_peak_gate_high"	"FPGA_short_tail_gate_low"	"FPGA_short_tail_gate_high"	"FPGA_medium_tail_gate_low"	"FPGA_medium_tail_gate_high"	"FPGA_long_tail_gate_low"	"FPGA_long_tail_gate_high"	"FPGA_CF_gate_1_low"	"FPGA_CF_gate_1_high"	"FPGA_CF_gate_2_low"	"FPGA_CF_gate_2_high"	"FPGA_pre_pulse_gate_low"	"FPGA_pre_pulse_gate_high"	"FPGA_filter_width_ch"	"FPGA_pilup_low_ch"	"FPGA_pilup_high_ch"	"FPGA_master_gate_low_ch"	"FPGA_master_gate_high_ch"	"FPGA_peak_gate_low_ch"	"FPGA_peak_gate_high_ch"	"FPGA_short_tail_gate_low_ch"	"FPGA_short_tail_gate_high_ch"	"FPGA_medium_tail_gate_low_ch"	"FPGA_medium_tail_gate_high_ch"	"FPGA_long_tail_gate_low_ch"	"FPGA_long_tail_gate_high_ch"	"FPGA_CF_gate_1_low_ch"	"FPGA_CF_gate_1_high_ch"	"FPGA_CF_gate_2_low_ch"	"FPGA_CF_gate_2_high_ch"	"FPGA_pre_pulse_gate_low_ch"	"FPGA_pre_pulse_gate_high_ch"	"Threshold_mV"	"Weighting_gain"	"Weighting_offset"	"Det_efficiency_percent"	"Timing_uncertainty_FWHM"	"Timing_uncertainty_full"	"Gamma_tail_low"	"Gamma_tail_high"	"Neutron_tail_low"	"Neutron_tail_high"	"Gate_banana_used"	"Tail_quality_needed"	"Total_gamma_counts"	"Total_neutron_counts"	"Neutron_counts_CPS"	"Trigger_to_gamma_ratio"	"Trigger_to_neutron_ratio"	"Tail_short_needed_low"	"Tail_short_needed_high"	"Tail_medium_needed_low"	"Tail_medium_needed_high"	"Tail_long_needed_low"	"Tail_long_needed_high"	"Digitizer_time_per_sample"	"Pulse_height_gain"	"Pulse_height_histogram_length"	"Rate_histogram_length"	"Timing_spectrum_length"	"Timing_spectrum_gain"	"Pulse_shape_spectrum_length"	"GN_2D_length_X"	"GN_2D_length_Y"	"GN_2D_gain_X"	"GN_2D_gain_Y"	"Histogram_compression"	"Energy_histogram_length"
6		6	"Gamma_06"	1	"Gamma"	6	"express"	1	2	5	"PMT_G06_A"		"PMT_G06_B"		"express"	1	12	10	"G-6"	"P-1"		1.2	1.2		0	1.5	1.5	"express"	1	12	11	"D-6"	"P-1"		1.2	1.2		0	1.5	1.5	50	25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
7		7	"Gamma_07"	1	"Gamma"	7	"express"	1	2	6	"PMT_G07_A"		"PMT_G07_B"		"express"	1	12	12	"G-7"	"P-1"		1.2	1.2		0	1.5	1.5	"express"	1	12	13	"D-7"	"P-1"		1.2	1.2		0	1.5	1.5	50	25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
8		8	"Gamma_08"	1	"Gamma"	8	"express"	1	2	7	"PMT_G08_A"		"PMT_G08_B"		"express"	1	12	14	"G-8"	"P-1"		1.2	1.2		0	1.5	1.5	"express"	1	12	15	"D-8"	"P-1"		1.2	1.2		0	1.5	1.5	50	25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
9		9	"Gamma_09"	1	"Gamma"	9	"express"	1	3	0	"PMT_G09_A"		"PMT_G09_B"		"express"	1	12	16	"G-9"	"P-1"		1.2	1.2		0	1.5	1.5	"express"	1	12	17	"D-9"	"P-1"		1.2	1.2		0	1.5	1.5	50	25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
10		10	"Gamma_10"	1	"Gamma"	10	"express"	1	3	1	"PMT_G10_A"		"PMT_G10_B"		"express"	1	12	18	"G-10"	"P-1"		1.2	1.2		0	1.5	1.5	"express"	1	12	19	"D-10"	"P-1"		1.2	1.2		0	1.5	1.5	50	25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
11		11	"Gamma_11"	1	"Gamma"	11	"express"	1	3	2	"PMT_G11_A"		"PMT_G11_B"		"express"	1	12	20	"G-11"	"P-1"		1.2	1.2		0	1.5	1.5	"express"	1	12	21	"D-11"	"P-1"		1.2	1.2		0	1.5	1.5	50	25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
12		12	"Gamma_12"	1	"Gamma"	12	"express"	1	3	3	"PMT_G12_A"		"PMT_G12_B"		"express"	1	12	22	"G-12"	"P-1"		1.2	1.2		0	1.5	1.5	"express"	1	12	23	"D-12"	"P-1"		1.2	1.2		0	1.5	1.5	50	25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
13		13	"Gamma_L_01"	1	"G_long"	1	"express"	1	3	4	"PMT_GL01_A"		"PMT_GL01_B"		"express"	1	12	0	"G-13"	"P-2"		1.2	1.2		0	1.5	1.5	"express"	1	12	1	"D-13"	"P-2"		1.2	1.2		0	1.5	1.5	50	25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
14		14	"Gamma_L_02"	1	"G_long"	2	"express"	1	3	5	"PMT_GL02_A"		"PMT_GL02_B"		"express"	1	13	2	"G-14"	"P-2"		1.2	1.2		0	1.5	1.5	"express"	1	13	3	"D-14"	"P-2"		1.2	1.2		0	1.5	1.5	50	25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
15		15	"Gamma_L_03"	1	"G_long"	3	"express"	1	3	6	"PMT_GL03_A"		"PMT_GL03_B"		"express"	1	13	4	"G-15"	"P-2"		1.2	1.2		0	1.5	1.5	"express"	1	13	5	"D-15"	"P-2"		1.2	1.2		0	1.5	1.5	50	25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
16		16	"Gamma_L_04"	1	"G_long"	4	"express"	1	3	7	"PMT_GL04_A"		"PMT_GL04_B"		"express"	1	13	6	"G-16"	"P-2"		1.2	1.2		0	1.5	1.5	"express"	1	13	7	"D-16"	"P-2"		1.2	1.2		0	1.5	1.5	50	25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
17		17	"Gamma_L_05"	1	"G_long"	5	"express"	1	4	0	"PMT_GL05_A"		"PMT_GL05_B"		"express"	1	13	8	"G-17"	"P-2"		1.2	1.2		0	1.5	1.5	"express"	1	13	9	"D-17"	"P-2"		1.2	1.2		0	1.5	1.5	50	25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
18		18	"Gamma_L_06"	1	"G_long"	6	"express"	1	4	1	"PMT_GL06_A"		"PMT_GL06_B"		"express"	1	13	10	"G-18"	"P-2"		1.2	1.2		0	1.5	1.5	"express"	1	13	11	"D-18"	"P-2"		1.2	1.2		0	1.5	1.5	50	25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
19		19	"Gamma_L_07"	1	"G_long"	7	"express"	1	4	2	"PMT_GL07_A"		"PMT_GL07_B"		"express"	1	13	12	"G-19"	"P-2"		1.2	1.2		0	1.5	1.5	"express"	1	13	13	"D-19"	"P-2"		1.2	1.2		0	1.5	1.5	50	25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
20		20	"Gamma_L_08"	1	"G_long"	8	"express"	1	4	3	"PMT_GL08_A"		"PMT_GL08_B"		"express"	1	13	14	"G-20"	"P-2"		1.2	1.2		0	1.5	1.5	"express"	1	13	15	"D-20"	"P-2"		1.2	1.2		0	1.5	1.5	50	25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
21		21	"Gamma_L_09"	1	"G_long"	9	"express"	1	4	4	"PMT_GL09_A"		"PMT_GL09_B"		"express"	1	13	16	"G-21"	"P-2"		1.2	1.2		0	1.5	1.5	"express"	1	13	17	"D-21"	"P-2"		1.2	1.2		0	1.5	1.5	50	25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
22		22	"Gamma_L_10"	1	"G_long"	10	"express"	1	4	5	"PMT_GL10_A"		"PMT_GL10_B"		"express"	1	13	18	"G-22"	"P-2"		1.2	1.2		0	1.5	1.5	"express"	1	13	19	"D-22"	"P-2"		1.2	1.2		0	1.5	1.5	50	25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
23		23	"Gamma_L_11"	1	"G_long"	11	"express"	1	4	6	"PMT_GL11_A"		"PMT_GL11_B"		"express"	1	13	20	"G-23"	"P-2"		1.2	1.2		0	1.5	1.5	"express"	1	13	21	"D-23"	"P-2"		1.2	1.2		0	1.5	1.5	50	25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
24		24	"Gamma_L_12"	1	"G_long"	12	"express"	1	4	7	"PMT_GL12_A"		"PMT_GL12_B"		"express"	1	13	22	"G-24"	"P-2"		1.2	1.2		0	1.5	1.5	"express"	1	13	23	"D-24"	"P-2"		1.2	1.2		0	1.5	1.5	50	25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
25		25	"Muon_01"	1	"Muon"	1	"express"	1	4	0	"PMT_Mu01_A"				"express"	1	13	0	"G-25"	"P-3"		1.2	1.2		0	1.5	1.5											0	1.5			25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
26		26	"Muon_02"	1	"Muon"	2	"express"	1	5	1	"PMT_Mu02_A"				"express"	1	13	2	"G-26"	"P-3"		1.2	1.2		0	1.5	1.5											0	1.5			25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
27		27	"Muon_03"	1	"Muon"	3	"express"	1	5	2	"PMT_Mu03_A"				"express"	1	14	4	"G-27"	"P-3"		1.2	1.2		0	1.5	1.5											0	1.5			25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
28		28	"Muon_04"	1	"Muon"	4	"express"	1	5	3	"PMT_Mu04_A"				"express"	1	14	6	"G-28"	"P-3"		1.2	1.2		0	1.5	1.5											0	1.5			25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
29		29	"Muon_05"	1	"Muon"	5	"express"	1	5	4	"PMT_Mu05_A"				"express"	1	14	8	"G-29"	"P-3"		1.2	1.2		0	1.5	1.5											0	1.5			25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
30		30	"Muon_06"	1	"Muon"	6	"express"	1	5	5	"PMT_Mu06_A"				"express"	1	14	10	"G-30"	"P-3"		1.2	1.2		0	1.5	1.5											0	1.5			25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
31		31	"Muon_07"	1	"Muon"	7	"express"	1	5	6	"PMT_Mu07_A"				"express"	1	14	12	"G-31"	"P-3"		1.2	1.2		0	1.5	1.5											0	1.5			25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
32		32	"Muon_08"	1	"Muon"	8	"express"	1	5	7	"PMT_Mu08_A"				"express"	1	14	14	"G-32"	"P-3"		1.2	1.2		0	1.5	1.5											0	1.5			25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
33		33	"Muon_09"	1	"Muon"	9	"express"	1	6	0	"PMT_Mu09_A"				"express"	1	14	16	"G-33"	"P-3"		1.2	1.2		0	1.5	1.5											0	1.5			25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
34		34	"Muon_10"	1	"Muon"	10	"express"	1	6	1	"PMT_Mu10_A"				"express"	1	14	18	"G-34"	"P-3"		1.2	1.2		0	1.5	1.5											0	1.5			25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
35		35	"Muon_11"	1	"Muon"	11	"express"	1	6	2	"PMT_Mu11_A"				"express"	1	14	20	"G-35"	"P-3"		1.2	1.2		0	1.5	1.5											0	1.5			25	50	0	0	0	0	0	25000	0.1	0	0	0		0	10	40	"137Cs"	20	38	22	15	20	24	20	0	0	0	10	20	100	0	30	50	2	1	4	7	41	300	4096	1	50	5000	-1000	1000	-30	30	50	90	100	200	210	750	-20	-20	-10	-10	-1000	-40	5	5	500	-100	100	-3	3	5	9	10	20	21	75	-2	-2	-1	-1	-100	-4	5	1	0	35	2	4	0.02	0.08	0.14	0.26	"no"	20	0	0	0	0	0	0.3	0.6	0.2	0.4	0.2	0.4	10	8	4096	4096	2048	0.1	256					5	4096
